Unnamed: 0,postal_code,state,city
105994,95724,CA,norden
106114,81429,CO,paradox
106207,57242,SD,hazel
106310,50645,IA,ionia
106359,35032,AL,bonair
106362,38223,TN,como
106598,58366,ND,rolette
106656,20790,MD,capitolheights
106754,47541,IN,holland
106907,77334,TX,dodge
106924,5362,VT,williamsville
107047,56032,MN,freeborn
107068,43216,OH,columbus
107154,58476,ND,pingree
107158,46508,IN,burket
107190,56295,MN,watson
107314,4551,ME,bremen
107347,13695,NY,wanakena
107376,68337,NE,dawson
107484,83808,ID,calder
107547,36569,AL,saintstephens
107577,56522,MN,campbell
107588,66093,KS,westphalia
107615,97626,OR,fortklamath
107921,27879,NC,simpson
107949,51448,IA,kiron
108168,58561,ND,napoleon
108246,13153,NY,skaneatelesfalls
108251,44633,OH,holmesville
108284,70773,LA,rougon
108313,17239,PA,neelyton
108454,82430,WY,kirby
108498,44619,OH,damascus
108536,66756,KS,mulberry
108587,50431,IA,coulter
108590,76854,TX,london
108663,40946,KY,greenroad
108715,58783,ND,souris
108721,64647,MO,jameson
108735,28508,NC,albertson
108785,46180,IN,stilesville
108798,52568,IA,martinsburg
108900,21056,MD,gibsonisland
108918,71339,LA,hamburg
108931,97843,OR,ione
108988,26296,WV,whitmer
109130,54842,WI,hawthorne
109155,59452,MT,hobson
109305,84766,UT,sevier
109318,95416,CA,boyeshotsprings
109368,17027,PA,grantham
109394,62998,IL,wolflake
109468,97144,OR,timber
109543,56260,MN,maynard
109555,65601,MO,aldrich
110026,61332,IL,leonore
110050,58463,ND,mcclusky
110095,81030,CO,cheraw
110491,26720,WV,gormania
110513,17260,PA,shirleysburg
110557,50527,IA,curlew
110770,41524,KY,fedscreek
110798,29320,SC,arcadia
110894,73749,OK,jet
110967,46731,IN,craigville
111007,2020,MA,brantrock
111084,36584,AL,vinegarbend
111149,85605,AZ,bowie
111184,38670,MS,sledge
111230,59456,MT,ledger
111392,71758,AR,mountholly
111468,62433,IL,hutsonville
111503,27819,NC,conetoe
111552,45897,OH,williamstown
111736,43555,OH,ridgevillecorners
111955,17318,PA,emigsville
111966,63735,MO,bellcity
112134,26293,WV,valleybend
112182,61562,IL,rome
112207,2826,RI,glendale
112227,58369,ND,saintjohn
112230,58316,ND,belcourt
112246,79740,TX,girvin
112324,28424,NC,brunswick
112510,80732,CO,hereford
112578,49874,MI,powers
112754,30647,GA,ila
112878,28367,NC,norman
112888,82224,WY,lostsprings
112940,64475,MO,parnell
112996,66078,KS,princeton
113054,56577,MN,richwood
113084,59067,MT,rapelje
113100,84316,UT,howell
113281,73950,OK,turpin
113354,17016,PA,cornwall
113435,79853,TX,tornillo
113515,73931,OK,balko
